Year,province,adm_level,region,Poverty_Incidence_among_Families,Magnitude_of_Poor_Population,Magnitude_of_Poor_Families,Subsistence_Incidence_among_Population,Annual_Per_Capita_Poverty_Threshold,Magnitude_of_Subsistence_Poor_Population,Poverty_Incidence_among_Population
2006,Philippines,Country,Philippines,0.21,22643980,3809283,0.12,13357,10233304,0.266
2009,Philippines,Country,Philippines,0.205,23300444,4036915,0.109,16871,9703209,0.263
2012,Philippines,Country,Philippines,0.197,23745896,4214921,0.104,18935,9811086,0.252
2015,Philippines,Country,Philippines,0.165,21927008,3746513,0.081,21753,8225722,0.216
2006,1st District,District,NCR,0.027,79109,9906,0.014,15699,22528,0.049
2009,1st District,District,NCR,0.032,84914,12405,0,19227,0,0.051
2012,1st District,District,NCR,0.036,102591,14343,0.005,20344,8902,0.062
2015,1st District,District,NCR,0.035,82007,12710,0.016,25007,24855,0.051
2006,2nd District,District,NCR,0.032,183449,28247,0.003,15699,13020,0.049
2009,2nd District,District,NCR,0.022,131502,21168,0.005,19227,17896,0.033
2012,2nd District,District,NCR,0.019,104495,19782,0.004,20344,16828,0.024
2015,2nd District,District,NCR,0.019,137392,21727,0.003,25007,15456,0.029
2006,3rd District,District,NCR,0.033,113009,18631,0.009,15699,21823,0.046
2009,3rd District,District,NCR,0.032,113585,19306,0.012,19227,30476,0.045
2012,3rd District,District,NCR,0.028,100451,18266,0.004,20344,10459,0.038
2015,3rd District,District,NCR,0.033,115990,22352,0.007,25007,19967,0.041
2006,4th District,District,NCR,0.024,124306,16570,0.012,15699,34761,0.044
2009,4th District,District,NCR,0.015,73457,11095,0.002,19227,7262,0.024
2012,4th District,District,NCR,0.03,153295,24138,0.007,20344,22004,0.048
2015,4th District,District,NCR,0.028,159242,23457,0.006,25007,22469,0.045
2006,Basilan,Province,ARMM,0.282,108642,14137,0.059,12538,16380,0.39
2009,Basilan,Province,ARMM,0.288,94660,14781,0.03,16256,7735,0.366
2012,Basilan,Province,ARMM,0.321,110711,16832,0.036,19368,9614,0.412
2015,Basilan,Province,ARMM,0.283,75019,11125,0.072,20678,14539,0.37
2006,Lanao del Sur,Province,ARMM,0.386,367996,51408,0.178,13116,146290,0.447
2009,Lanao del Sur,Province,ARMM,0.487,501993,68770,0.259,17024,229623,0.566
2012,Lanao del Sur,Province,ARMM,0.673,687138,100946,0.496,22665,461866,0.738
2015,Lanao del Sur,Province,ARMM,0.663,725262,109258,0.41,22802,412985,0.719
2006,Maguindanao,Province,ARMM,0.464,471762,70665,0.238,12877,205934,0.546
2009,Maguindanao,Province,ARMM,0.433,460209,67899,0.177,16701,156521,0.522
2012,Maguindanao,Province,ARMM,0.545,571223,87800,0.258,18873,231634,0.637
2015,Maguindanao,Province,ARMM,0.488,551681,86100,0.288,21423,277716,0.572
2006,Sulu,Province,ARMM,0.352,280457,39478,0.093,13330,64233,0.407
2009,Sulu,Province,ARMM,0.355,299785,42530,0.047,17240,34184,0.416
2012,Sulu,Province,ARMM,0.402,358144,51278,0.123,20477,96523,0.458
2015,Sulu,Province,ARMM,0.496,577987,83289,0.074,20778,77813,0.549
2006,Tawi-tawi,Province,ARMM,0.502,221612,30146,0.228,11557,96405,0.524
2009,Tawi-tawi,Province,ARMM,0.294,151220,18514,0.057,14659,24417,0.353
2012,Tawi-tawi,Province,ARMM,0.219,126971,14499,0.074,17406,32844,0.286
2015,Tawi-tawi,Province,ARMM,0.106,60555,7226,0,16586,0,0.126
2006,Abra,Province,CAR,0.394,105370,18054,0.258,14680,55266,0.493
2009,Abra,Province,CAR,0.389,107945,18852,0.299,17852,66180,0.488
2012,Abra,Province,CAR,0.272,84347,13914,0.135,19775,30475,0.374
2015,Abra,Province,CAR,0.199,76930,12400,0.084,21240,22360,0.289
2006,Apayao,Province,CAR,0.421,50259,8944,0.276,13915,29697,0.468
2009,Apayao,Province,CAR,0.399,51298,9132,0.293,16923,32925,0.457
2012,Apayao,Province,CAR,0.547,68970,13462,0.338,18623,37989,0.614
2015,Apayao,Province,CAR,0.309,36004,6945,0.084,20947,8621,0.349
2006,Benguet,Province,CAR,0.04,40123,5773,0.014,13341,9637,0.058
2009,Benguet,Province,CAR,0.042,43778,6937,0.019,16217,13696,0.061
2012,Benguet,Province,CAR,0.028,27789,5121,0.006,19140,4812,0.037
2015,Benguet,Province,CAR,0.025,28418,4783,0.004,21561,3437,0.035
2006,Ifugao,Province,CAR,0.209,47642,7575,0.105,14233,17820,0.28
2009,Ifugao,Province,CAR,0.239,56194,9263,0.107,17321,18649,0.321
2012,Ifugao,Province,CAR,0.36,79680,14950,0.223,20253,41953,0.424
2015,Ifugao,Province,CAR,0.261,68321,11133,0.168,22673,35386,0.325
2006,Kalinga,Province,CAR,0.406,85794,14340,0.294,13079,53305,0.473
2009,Kalinga,Province,CAR,0.241,56660,9124,0.168,15939,31512,0.301
2012,Kalinga,Province,CAR,0.209,53768,8482,0.131,17342,26315,0.268
2015,Kalinga,Province,CAR,0.3,78585,12884,0.142,20468,32028,0.349
2006,Mt. Province,Province,CAR,0.385,62931,11920,0.279,14910,39822,0.441
2009,Mt. Province,Province,CAR,0.393,74191,12803,0.255,18118,36201,0.522
2012,Mt. Province,Province,CAR,0.279,59186,9586,0.137,21138,21553,0.376
2015,Mt. Province,Province,CAR,0.295,63332,11615,0.141,23620,22932,0.39
2006,Agusan del Norte,Province,CARAGA,0.387,273427,46898,0.236,14739,146385,0.441
2009,Agusan del Norte,Province,CARAGA,0.373,290793,48842,0.249,18890,157473,0.459
2012,Agusan del Norte,Province,CARAGA,0.277,230721,39125,0.159,18905,105651,0.347
2015,Agusan del Norte,Province,CARAGA,0.281,270149,45678,0.157,21535,121778,0.349
2006,Agusan del Sur,Province,CARAGA,0.461,327984,56058,0.318,14969,193710,0.538
2009,Agusan del Sur,Province,CARAGA,0.538,398421,70560,0.384,19107,255170,0.6
2012,Agusan del Sur,Province,CARAGA,0.373,324597,52809,0.261,19634,176354,0.481
2015,Agusan del Sur,Province,CARAGA,0.37,318638,50990,0.233,22957,157330,0.473
2006,Surigao Del Norte,Province,CARAGA,0.437,283789,47939,0.28,13771,150544,0.527
2009,Surigao Del Norte,Province,CARAGA,0.489,311979,58147,0.323,17595,173739,0.579
2012,Surigao Del Norte,Province,CARAGA,0.338,248953,43620,0.171,20566,101848,0.418
2015,Surigao Del Norte,Province,CARAGA,0.267,225181,38612,0.118,23057,76354,0.347
2006,Surigao Del Sur,Province,CARAGA,0.38,247468,40420,0.26,13605,138478,0.465
2009,Surigao Del Sur,Province,CARAGA,0.441,290490,49904,0.268,17398,144767,0.537
2012,Surigao Del Sur,Province,CARAGA,0.283,197653,33968,0.131,19287,72051,0.36
2015,Surigao Del Sur,Province,CARAGA,0.32,248345,42879,0.164,22759,101469,0.401
2006,Ilocos Norte,Province,Region I,0.137,94405,16393,0.079,14512,42245,0.177
2009,Ilocos Norte,Province,Region I,0.111,79794,14045,0.042,17990,22908,0.147
